,pagefaults_task_pid,pagefaults_task_majflt_s,policy_time,task_switching_cswch_s,task_switching_pid,threads_task_percent_guest,kernel_statistics_kb_rd_s,cpu_statistics_task_pid,pagefaults_child_time,kernel_tables_time,kernel_tables_uid,kernel_statistics_uid,pagefaults_task_rss,policy_uid,pagefaults_task_percent_mem,task_switching_time,pagefaults_task_uid,stack_utilization_uid,cpu_statistics_task_percent_cpu,kernel_tables_pid,threads_child_uid,pagefaults_task_time,cpu_statistics_child_pid,stack_utilization_stkref,policy_pid,pagefaults_child_pid,kernel_statistics_pid,kernel_statistics_time,pagefaults_task_minflt_s,threads_task_time,pagefaults_child_uid,cpu_statistics_task_percent_usr,cpu_statistics_task_percent_system,stack_utilization_stksize,threads_task_percent_system,kernel_statistics_kb_ccwr_s,stack_utilization_time,task_switching_uid,cpu_statistics_task_cpu,pagefaults_task_vsz,kernel_statistics_kb_wr_s,cpu_statistics_task_uid,threads_task_uid,threads_task_cpu,threads_child_time,threads_task_percent_usr,stack_utilization_pid,cpu_statistics_child_uid,cpu_statistics_child_time,threads_task_percent_cpu,cpu_statistics_task_percent_guest,task_switching_nvcswch_s,cpu_statistics_task_time,timepoint,rank
0,,,,,,,,155,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,4,,,1234,,,,,,,,,0.0,,225351,0.0,0.0
1,,,,,,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,1234,225352,,,,,0.0,0.0
2,,,,,,,3.8,,,,,1234,,,,,,,,,,,,,,,155,225352,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,0.0
3,,,225352,,,,,,,,,,,1234,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
4,155,0.0,,,,,,,,,,,20420,,0.13,,1234,,,,,225352,,,,,,,0.01,,,,,,,,,,,34068,,,,,,,,,,,,,,0.0,0.0
5,,,,,,,,,225352,,,,,,,,,,,,,,,,,155,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
6,,,,,,,,,,,,,,,,,,1234,,,,,,96,,,,,,,,,,3,,,225352,,,,,,,,,,155,,,,,,,0.0,0.0
7,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,225353,,,,,0.0,,,,,,,,1234,4,,0.0,,,,0.0,,,,0.0,0.0
8,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,,225353,,,,,,,,,0.0,0.0
9,,,,,,,,,,225353,1234,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
10,,,,3.8,155,,,,,,,,,,,225353,,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,0.0,,0.0,0.0
11,,,,,,,,155,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,4,,,1234,,,,,,,,,0.0,,225355,1.0,0.0
12,,,,,,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,1234,225356,,,,,1.0,0.0
13,,,,,,,3.8,,,,,1234,,,,,,,,,,,,,,,155,225356,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,1.0,0.0
14,,,225356,,,,,,,,,,,1234,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
15,155,0.0,,,,,,,,,,,20420,,0.13,,1234,,,,,225356,,,,,,,0.01,,,,,,,,,,,34068,,,,,,,,,,,,,,1.0,0.0
16,,,,,,,,,225357,,,,,,,,,,,,,,,,,155,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
17,,,,,,,,,,,,,,,,,,1234,,,,,,96,,,,,,,,,,3,,,225357,,,,,,,,,,155,,,,,,,1.0,0.0
18,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,225357,,,,,0.0,,,,,,,,1234,4,,0.0,,,,0.0,,,,1.0,0.0
19,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,,225357,,,,,,,,,1.0,0.0
20,,,,,,,,,,225357,1234,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
21,,,,3.8,155,,,,,,,,,,,225357,,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,0.0,,1.0,0.0
22,,,,,,,,155,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,4,,,1234,,,,,,,,,0.0,,225400,2.0,0.0
23,,,,,,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,1234,225400,,,,,2.0,0.0
24,,,,,,,3.8,,,,,1234,,,,,,,,,,,,,,,155,225400,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,2.0,0.0
25,,,225400,,,,,,,,,,,1234,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
26,155,0.0,,,,,,,,,,,20420,,0.13,,1234,,,,,225400,,,,,,,0.01,,,,,,,,,,,34068,,,,,,,,,,,,,,2.0,0.0
27,,,,,,,,,225400,,,,,,,,,,,,,,,,,155,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
28,,,,,,,,,,,,,,,,,,1234,,,,,,96,,,,,,,,,,3,,,225401,,,,,,,,,,155,,,,,,,2.0,0.0
29,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,225401,,,,,0.0,,,,,,,,1234,4,,0.0,,,,0.0,,,,2.0,0.0
30,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,,225401,,,,,,,,,2.0,0.0
31,,,,,,,,,,225401,1234,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
32,,,,3.8,155,,,,,,,,,,,225401,,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,0.0,,2.0,0.0
33,,,,,,,,155,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,4,,,1234,,,,,,,,,0.0,,225403,3.0,0.0
34,,,,,,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,1234,225404,,,,,3.0,0.0
35,,,,,,,3.8,,,,,1234,,,,,,,,,,,,,,,155,225404,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,3.0,0.0
36,,,225404,,,,,,,,,,,1234,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
37,155,0.0,,,,,,,,,,,20420,,0.13,,1234,,,,,225404,,,,,,,0.01,,,,,,,,,,,34068,,,,,,,,,,,,,,3.0,0.0
38,,,,,,,,,225404,,,,,,,,,,,,,,,,,155,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
39,,,,,,,,,,,,,,,,,,1234,,,,,,96,,,,,,,,,,3,,,225405,,,,,,,,,,155,,,,,,,3.0,0.0
40,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,225405,,,,,0.0,,,,,,,,1234,4,,0.0,,,,0.0,,,,3.0,0.0
41,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,,225405,,,,,,,,,3.0,0.0
42,,,,,,,,,,225405,1234,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
43,,,,3.8,155,,,,,,,,,,,225405,,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,0.0,,3.0,0.0
44,,,,,,,,155,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,4,,,1234,,,,,,,,,0.0,,225407,4.0,0.0
45,,,,,,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,1234,225408,,,,,4.0,0.0
46,,,,,,,3.8,,,,,1234,,,,,,,,,,,,,,,155,225408,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,4.0,0.0
47,,,225408,,,,,,,,,,,1234,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
48,155,0.0,,,,,,,,,,,20408,,0.13,,1234,,,,,225408,,,,,,,0.01,,,,,,,,,,,34068,,,,,,,,,,,,,,4.0,0.0
49,,,,,,,,,225408,,,,,,,,,,,,,,,,,155,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
50,,,,,,,,,,,,,,,,,,1234,,,,,,96,,,,,,,,,,3,,,225408,,,,,,,,,,155,,,,,,,4.0,0.0
51,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,225409,,,,,0.0,,,,,,,,1234,4,,0.0,,,,0.0,,,,4.0,0.0
52,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,,225409,,,,,,,,,4.0,0.0
53,,,,,,,,,,225409,1234,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
54,,,,3.8,155,,,,,,,,,,,225409,,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,0.0,,4.0,0.0
55,,,,,,,,155,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,4,,,1234,,,,,,,,,0.0,,225412,5.0,0.0
56,,,,,,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,1234,225412,,,,,5.0,0.0
57,,,,,,,3.8,,,,,1234,,,,,,,,,,,,,,,155,225412,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,5.0,0.0
58,,,225412,,,,,,,,,,,1234,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
59,155,0.0,,,,,,,,,,,20408,,0.13,,1234,,,,,225412,,,,,,,0.01,,,,,,,,,,,34068,,,,,,,,,,,,,,5.0,0.0
60,,,,,,,,,225413,,,,,,,,,,,,,,,,,155,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
61,,,,,,,,,,,,,,,,,,1234,,,,,,96,,,,,,,,,,3,,,225413,,,,,,,,,,155,,,,,,,5.0,0.0
62,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,225413,,,,,0.0,,,,,,,,1234,4,,0.0,,,,0.0,,,,5.0,0.0
63,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,,225413,,,,,,,,,5.0,0.0
64,,,,,,,,,,225414,1234,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
65,,,,3.8,155,,,,,,,,,,,225414,,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,0.0,,5.0,0.0
66,,,,,,,,155,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,4,,,1234,,,,,,,,,0.0,,225416,6.0,0.0
67,,,,,,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,1234,225416,,,,,6.0,0.0
68,,,,,,,3.8,,,,,1234,,,,,,,,,,,,,,,155,225417,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,6.0,0.0
69,,,225417,,,,,,,,,,,1234,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
70,155,0.0,,,,,,,,,,,20408,,0.13,,1234,,,,,225417,,,,,,,0.01,,,,,,,,,,,34068,,,,,,,,,,,,,,6.0,0.0
71,,,,,,,,,225417,,,,,,,,,,,,,,,,,155,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
72,,,,,,,,,,,,,,,,,,1234,,,,,,96,,,,,,,,,,3,,,225417,,,,,,,,,,155,,,,,,,6.0,0.0
73,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,225417,,,,,0.0,,,,,,,,1234,4,,0.0,,,,0.0,,,,6.0,0.0
74,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,,225418,,,,,,,,,6.0,0.0
75,,,,,,,,,,225418,1234,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
76,,,,3.8,155,,,,,,,,,,,225418,,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,0.0,,6.0,0.0
77,,,,,,,,92,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,3,,,1234,,,,,,,,,0.0,,225351,0.0,1.0
78,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,1234,225351,,,,,0.0,1.0
79,,,,,,,0.0,,,,,1234,,,,,,,,,,,,,,,92,225351,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,1.0
80,,,225352,,,,,,,,,,,1234,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
81,92,0.0,,,,,,,,,,,10760,,0.07,,1234,,,,,225352,,,,,,,0.0,,,,,,,,,,,616912,,,,,,,,,,,,,,0.0,1.0
82,,,,,,,,,225352,,,,,,,,,,,,,,,,,92,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
83,,,,,,,,,,,,,,,,,,1234,,,,,,264,,,,,,,,,,264,,,225352,,,,,,,,,,92,,,,,,,0.0,1.0
84,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,225352,,,,,0.0,,,,,,,,1234,7,,0.0,,,,0.0,,,,0.0,1.0
85,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,,225353,,,,,,,,,0.0,1.0
86,,,,,,,,,,225353,1234,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
87,,,,0.0,92,,,,,,,,,,,225353,,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,0.0,,0.0,1.0
88,,,,,,,,92,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,0,,,1234,,,,,,,,,0.0,,225355,1.0,1.0
89,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,1234,225355,,,,,1.0,1.0
90,,,,,,,0.0,,,,,1234,,,,,,,,,,,,,,,92,225356,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,1.0,1.0
91,,,225356,,,,,,,,,,,1234,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
92,92,0.0,,,,,,,,,,,10760,,0.07,,1234,,,,,225356,,,,,,,0.0,,,,,,,,,,,616912,,,,,,,,,,,,,,1.0,1.0
93,,,,,,,,,225356,,,,,,,,,,,,,,,,,92,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
94,,,,,,,,,,,,,,,,,,1234,,,,,,264,,,,,,,,,,264,,,225357,,,,,,,,,,92,,,,,,,1.0,1.0
95,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,225357,,,,,0.0,,,,,,,,1234,7,,0.0,,,,0.0,,,,1.0,1.0
96,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,,225357,,,,,,,,,1.0,1.0
97,,,,,,,,,,225357,1234,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
98,,,,0.0,92,,,,,,,,,,,225357,,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,0.0,,1.0,1.0
99,,,,,,,,92,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,4,,,1234,,,,,,,,,0.0,,225400,2.0,1.0
100,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,1234,225400,,,,,2.0,1.0
101,,,,,,,0.0,,,,,1234,,,,,,,,,,,,,,,92,225400,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,2.0,1.0
102,,,225400,,,,,,,,,,,1234,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
103,92,0.0,,,,,,,,,,,10760,,0.07,,1234,,,,,225400,,,,,,,0.0,,,,,,,,,,,616912,,,,,,,,,,,,,,2.0,1.0
104,,,,,,,,,225400,,,,,,,,,,,,,,,,,92,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
105,,,,,,,,,,,,,,,,,,1234,,,,,,264,,,,,,,,,,264,,,225401,,,,,,,,,,92,,,,,,,2.0,1.0
106,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,225401,,,,,0.0,,,,,,,,1234,7,,0.0,,,,0.0,,,,2.0,1.0
107,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,,225401,,,,,,,,,2.0,1.0
108,,,,,,,,,,225401,1234,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
109,,,,0.0,92,,,,,,,,,,,225401,,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,0.0,,2.0,1.0
110,,,,,,,,92,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,4,,,1234,,,,,,,,,0.0,,225403,3.0,1.0
111,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,1234,225404,,,,,3.0,1.0
112,,,,,,,0.0,,,,,1234,,,,,,,,,,,,,,,92,225404,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,3.0,1.0
113,,,225404,,,,,,,,,,,1234,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
114,92,0.0,,,,,,,,,,,10760,,0.07,,1234,,,,,225404,,,,,,,0.0,,,,,,,,,,,616912,,,,,,,,,,,,,,3.0,1.0
115,,,,,,,,,225404,,,,,,,,,,,,,,,,,92,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
116,,,,,,,,,,,,,,,,,,1234,,,,,,264,,,,,,,,,,264,,,225405,,,,,,,,,,92,,,,,,,3.0,1.0
117,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,225405,,,,,0.0,,,,,,,,1234,7,,0.0,,,,0.0,,,,3.0,1.0
118,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,,225405,,,,,,,,,3.0,1.0
119,,,,,,,,,,225405,1234,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
120,,,,0.0,92,,,,,,,,,,,225405,,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,0.0,,3.0,1.0
121,,,,,,,,92,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,7,,,1234,,,,,,,,,0.0,,225408,4.0,1.0
122,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,1234,225408,,,,,4.0,1.0
123,,,,,,,0.0,,,,,1234,,,,,,,,,,,,,,,92,225408,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,4.0,1.0
124,,,225408,,,,,,,,,,,1234,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0
125,92,0.0,,,,,,,,,,,10748,,0.07,,1234,,,,,225408,,,,,,,0.0,,,,,,,,,,,616912,,,,,,,,,,,,,,4.0,1.0
126,,,,,,,,,225408,,,,,,,,,,,,,,,,,92,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0
127,,,,,,,,,,,,,,,,,,1234,,,,,,264,,,,,,,,,,264,,,225409,,,,,,,,,,92,,,,,,,4.0,1.0
128,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,225409,,,,,0.0,,,,,,,,1234,7,,0.0,,,,0.0,,,,4.0,1.0
129,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,,225409,,,,,,,,,4.0,1.0
130,,,,,,,,,,225409,1234,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0
131,,,,0.0,92,,,,,,,,,,,225410,,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,0.0,,4.0,1.0
132,,,,,,,,92,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,3,,,1234,,,,,,,,,0.0,,225412,5.0,1.0
133,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,1234,225412,,,,,5.0,1.0
134,,,,,,,0.0,,,,,1234,,,,,,,,,,,,,,,92,225412,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,5.0,1.0
135,,,225412,,,,,,,,,,,1234,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0
136,92,0.0,,,,,,,,,,,10748,,0.07,,1234,,,,,225413,,,,,,,0.0,,,,,,,,,,,616912,,,,,,,,,,,,,,5.0,1.0
137,,,,,,,,,225413,,,,,,,,,,,,,,,,,92,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0
138,,,,,,,,,,,,,,,,,,1234,,,,,,264,,,,,,,,,,264,,,225413,,,,,,,,,,92,,,,,,,5.0,1.0
139,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,225413,,,,,0.0,,,,,,,,1234,7,,0.0,,,,0.0,,,,5.0,1.0
140,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,,225414,,,,,,,,,5.0,1.0
141,,,,,,,,,,225414,1234,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0
142,,,,0.0,92,,,,,,,,,,,225414,,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,0.0,,5.0,1.0
143,,,,,,,,92,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,0,,,1234,,,,,,,,,0.0,,225416,6.0,1.0
144,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,1234,225417,,,,,6.0,1.0
145,,,,,,,0.0,,,,,1234,,,,,,,,,,,,,,,92,225417,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,6.0,1.0
146,,,225417,,,,,,,,,,,1234,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0
147,92,0.0,,,,,,,,,,,10748,,0.07,,1234,,,,,225417,,,,,,,0.0,,,,,,,,,,,616912,,,,,,,,,,,,,,6.0,1.0
148,,,,,,,,,225417,,,,,,,,,,,,,,,,,92,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0
149,,,,,,,,,,,,,,,,,,1234,,,,,,264,,,,,,,,,,264,,,225418,,,,,,,,,,92,,,,,,,6.0,1.0
150,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,225418,,,,,0.0,,,,,,,,1234,7,,0.0,,,,0.0,,,,6.0,1.0
151,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,,225418,,,,,,,,,6.0,1.0
